link No.,init node,term node,length (meters),free flow time (minute),b,power,volume/capacity
49,23,22,1015,1.74,3.34,0.41,0.8
50,22,31,626,1.073142857,3.34,0.41,0.8
50,31,22,626,1.073142857,3.34,0.41,0.8
51,22,63,1310,2.245714286,3.34,0.41,1.1
51,63,22,1310,2.245714286,3.34,0.41,1.1
52,23,24,455,0.78,3.34,0.41,0.8
52,24,23,455,0.78,3.34,0.41,0.8
53,24,25,1670,2.862857143,3.34,0.41,0.8
53,25,24,1670,2.862857143,3.34,0.41,0.8
54,24,33,2210,3.788571429,3.34,0.41,1.3
54,33,24,2210,3.788571429,3.34,0.41,1.3
55,26,33,1550,2.657142857,3.34,0.41,1.1
55,33,26,1550,2.657142857,3.34,0.41,1.1
56,26,66,915,1.568571429,3.34,0.41,0.8
56,66,26,915,1.568571429,3.34,0.41,0.8
57,26,70,1930,3.308571429,3.34,0.41,1.3
57,70,26,1930,3.308571429,3.34,0.41,1.3
58,27,28,330,0.565714286,3.34,0.41,0.8
58,28,27,330,0.565714286,3.34,0.41,0.8
59,27,50,1070,1.834285714,3.34,0.41,1.1
59,50,27,1070,1.834285714,3.34,0.41,1.1
60,27,66,1860,3.188571429,3.34,0.41,0.9
60,66,27,1860,3.188571429,3.34,0.41,0.9
61,28,32,2080,3.565714286,3.34,0.41,1
61,32,28,2080,3.565714286,3.34,0.41,1
62,28,67,872,1.494857143,3.34,0.41,1.1
62,67,28,872,1.494857143,3.34,0.41,1.1
63,29,30,1060,1.817142857,3.34,0.41,0.8
63,30,29,1060,1.817142857,3.34,0.41,0.8
64,29,31,860,1.474285714,3.34,0.41,0.8
64,31,29,860,1.474285714,3.34,0.41,0.8
65,29,34,1630,2.794285714,3.34,0.41,0.8
65,34,29,1630,2.794285714,3.34,0.41,0.8
66,29,62,1270,2.177142857,3.34,0.41,0.8
66,62,29,1270,2.177142857,3.34,0.41,0.8
67,30,32,630,1.08,3.34,0.41,0.8
67,32,30,630,1.08,3.34,0.41,0.8
68,30,37,605,1.037142857,3.34,0.41,1
68,37,30,605,1.037142857,3.34,0.41,1
69,31,33,3350,5.742857143,3.34,0.41,0.8
69,33,31,3350,5.742857143,3.34,0.41,0.8
70,31,67,2040,3.497142857,3.34,0.41,1.1
70,67,31,2040,3.497142857,3.34,0.41,1.1
71,32,38,589,1.009714286,3.34,0.41,0.9
71,38,32,589,1.009714286,3.34,0.41,0.9
72,33,71,1400,2.4,3.34,0.41,0.8
72,71,33,1400,2.4,3.34,0.41,0.8
73,34,35,1500,2.571428571,3.34,0.41,1.1
73,35,34,1500,2.571428571,3.34,0.41,1.1
74,34,39,1050,1.8,3.34,0.41,0.8
74,39,34,1050,1.8,3.34,0.41,0.8
75,35,36,722,1.237714286,3.34,0.41,1.2
75,36,35,722,1.237714286,3.34,0.41,1.2
76,35,48,3420,5.862857143,3.34,0.41,0.9
76,48,35,3420,5.862857143,3.34,0.41,0.9
77,35,62,750,1.285714286,3.34,0.41,1
77,62,35,750,1.285714286,3.34,0.41,1
78,36,53,200,0.342857143,3.34,0.41,0.8
78,53,36,200,0.342857143,3.34,0.41,0.8
79,36,54,950,1.628571429,3.34,0.41,1.1
79,54,36,950,1.628571429,3.34,0.41,1.1
80,37,38,737,1.263428571,3.34,0.41,0.9
80,38,37,737,1.263428571,3.34,0.41,0.9
81,37,39,1150,1.971428571,3.34,0.41,0.8
81,39,37,1150,1.971428571,3.34,0.41,0.8
82,38,49,1340,2.297142857,3.34,0.41,1
82,49,38,1340,2.297142857,3.34,0.41,1
83,38,65,1350,2.314285714,3.34,0.41,0.8
83,65,38,1350,2.314285714,3.34,0.41,0.8
84,39,48,1360,2.331428571,3.34,0.41,1
84,48,39,1360,2.331428571,3.34,0.41,1
85,39,65,605,1.037142857,3.34,0.41,0.8
85,65,39,605,1.037142857,3.34,0.41,0.8
86,40,41,279,0.478285714,3.34,0.41,1
86,41,40,279,0.478285714,3.34,0.41,1
87,40,49,1410,2.417142857,3.34,0.41,0.8
87,49,40,1410,2.417142857,3.34,0.41,0.8
88,40,65,1080,1.851428571,3.34,0.41,0.8
88,65,40,1080,1.851428571,3.34,0.41,0.8
89,41,42,1620,2.777142857,3.34,0.41,1
89,42,41,1620,2.777142857,3.34,0.41,1
90,41,48,2520,4.32,3.34,0.41,1.1
90,48,41,2520,4.32,3.34,0.41,1.1
91,42,43,1910,3.274285714,3.34,0.41,0.8
91,43,42,1910,3.274285714,3.34,0.41,0.8
92,43,44,1850,3.171428571,3.34,0.41,0.9
92,44,43,1850,3.171428571,3.34,0.41,0.9
93,44,47,1500,2.571428571,3.34,0.41,1.2
93,47,44,1500,2.571428571,3.34,0.41,1.2
94,45,46,2500,4.285714286,3.34,0.41,1.3
94,46,45,2500,4.285714286,3.34,0.41,1.3
95,45,47,4730,8.108571429,3.34,0.41,1
95,47,45,4730,8.108571429,3.34,0.41,1
96,45,69,2420,4.148571429,3.34,0.41,1.1
96,69,45,2420,4.148571429,3.34,0.41,1.1
97,46,70,3120,5.348571429,3.34,0.41,1.1
97,70,46,3120,5.348571429,3.34,0.41,1.1
98,50,69,465,0.797142857,3.34,0.41,1.1
98,69,50,465,0.797142857,3.34,0.41,1.1
99,51,52,880,1.508571429,3.34,0.41,0.8
99,52,51,880,1.508571429,3.34,0.41,0.8
100,53,54,661,1.133142857,3.34,0.41,0.8
100,54,53,661,1.133142857,3.34,0.41,0.8
101,53,55,886,1.518857143,3.34,0.41,0.8
101,55,53,886,1.518857143,3.34,0.41,0.8
102,53,62,790,1.354285714,3.34,0.41,0.8
102,62,53,790,1.354285714,3.34,0.41,0.8
103,55,56,707,1.212,3.34,0.41,0.8
103,56,55,707,1.212,3.34,0.41,0.8
104,56,57,391,0.670285714,3.34,0.41,0.8
104,57,56,391,0.670285714,3.34,0.41,0.8
105,56,58,456,0.781714286,3.34,0.41,0.8
105,58,56,456,0.781714286,3.34,0.41,0.8
106,57,59,610,1.045714286,3.34,0.41,0.8
107,57,60,222,0.380571429,3.34,0.41,0.8
107,60,57,222,0.380571429,3.34,0.41,0.8
108,57,61,665,1.14,3.34,0.41,0.8
108,61,57,665,1.14,3.34,0.41,0.8
109,59,57,610,1.045714286,3.34,0.41,0.8
110,58,59,333,0.570857143,3.34,0.41,1
110,59,58,333,0.570857143,3.34,0.41,1
111,63,64,1150,1.971428571,3.34,0.41,0.8
111,64,63,1150,1.971428571,3.34,0.41,0.8
112,66,68,1640,2.811428571,3.34,0.41,0.9
112,68,66,1640,2.811428571,3.34,0.41,0.9
113,66,71,838,1.436571429,3.34,0.41,0.8
113,71,66,838,1.436571429,3.34,0.41,0.8
114,67,71,1605,2.751428571,3.34,0.41,0.9
114,71,67,1605,2.751428571,3.34,0.41,0.9
115,68,69,1390,2.382857143,3.34,0.41,0.8
115,69,68,1390,2.382857143,3.34,0.41,0.8
116,68,70,1000,1.714285714,3.34,0.41,1.3
116,70,68,1000,1.714285714,3.34,0.41,1.3
117,44,49,3520,6.034285714,3.34,0.41,1.1
117,49,44,3520,6.034285714,3.34,0.41,1.1
